trial,detection_rate,false_positive_rate,capex_M,reactive_annual_tco_M,nadissp_annual_tco_M,reactive_5yr_tco_M,nadissp_5yr_tco_M,delta_tco_M,npv_M,payback_year,irr,ac_cmaps_turbofan,ac_ai4i_manufacturing,ac_3w_offshore_well,ac_espset_pump
356,0.7523,0.0546,268.64,442.98,67.86,2214.91,339.32,1619.555,1350.915,1.0,1.1813,566.989,237.937,244.554,575.929
357,0.8038,0.1651,332.855,734.39,299.67,3671.97,1498.37,1868.765,1535.91,1.0,1.0951,495.13,296.055,628.742,783.769
358,0.6558,0.0453,359.919,472.06,288.27,2360.32,1441.36,823.009,463.09,3.0,0.3585,330.381,60.386,456.411,398.185
359,0.9274,0.2221,412.3,162.8,61.96,814.02,309.8,418.465,6.165,5.0,0.005,85.919,268.44,0.0,160.269
360,0.8258,0.1448,372.011,420.63,388.76,2103.13,1943.79,96.594,-275.416,,,343.848,198.658,334.35,-116.359
361,0.738,0.2247,417.654,354.38,120.02,1771.91,600.1,1047.65,629.996,2.0,0.4124,292.181,412.095,256.388,252.411
362,0.8502,0.1296,225.809,601.37,151.57,3006.83,757.87,1947.818,1722.009,1.0,1.7135,945.928,227.334,664.774,184.368
363,0.8068,0.0901,280.076,337.64,178.55,1688.21,892.75,719.162,439.086,2.0,0.4267,38.792,283.294,302.789,421.744
364,0.7996,0.1195,401.492,566.91,133.61,2834.57,668.06,1929.337,1527.845,2.0,0.9247,478.551,629.384,203.531,740.574
365,0.8739,0.0419,501.719,232.82,50.03,1164.09,250.16,744.786,243.068,4.0,0.148,239.884,72.643,265.68,216.711
366,0.8095,0.1316,340.776,607.29,212.41,3036.44,1062.06,1802.409,1461.633,1.0,1.0269,175.29,300.857,824.591,773.962
367,0.8734,0.1604,248.926,605.81,244.34,3029.04,1221.71,1545.806,1296.88,1.0,1.2189,407.548,349.352,399.217,776.868
368,0.9193,0.0593,390.503,527.99,215.0,2639.93,1075.02,1334.362,943.859,2.0,0.6227,200.695,581.711,332.661,580.585
369,0.6737,0.0035,350.325,458.72,95.38,2293.6,476.88,1572.043,1221.717,2.0,0.8568,394.706,209.257,259.37,757.312
370,0.9111,0.1263,412.66,544.23,161.33,2721.13,806.63,1732.597,1319.937,2.0,0.7946,374.559,567.415,666.094,363.819
371,0.8853,0.198,468.623,366.55,144.23,1832.75,721.13,969.918,501.295,3.0,0.3043,473.426,95.684,271.09,321.912
372,0.8158,0.0481,268.88,259.11,80.2,1295.53,401.0,739.26,470.38,2.0,0.4697,317.784,270.947,169.001,57.77
373,0.8298,0.1623,467.557,420.53,82.59,2102.67,412.95,1462.446,994.889,2.0,0.5573,412.179,383.415,311.532,426.66
